engineer,prs_merged,bug_fixes,reverts_triggered,review_actions,review_words_written,multiplier_impact
sampennington,49,0,0,161,7318,2
cat-ph,12,0,0,4,75,0
VojtechBartos,11,0,1,13,70,0
georgemunyoro,3,0,0,0,0,0
Piccirello,9,0,0,8,974,0
rnegron,21,0,0,1,33,0
richardsolomou,5,0,0,13,442,0
developers-universe-1,1,0,0,0,0,0
skoob13,6,0,0,3,34,0
danielcarletti,15,0,0,9,307,0
andrewm4894,3,0,0,12,416,0
arnohillen,6,0,0,3,57,2
pl,6,0,0,8,274,0
Radu-Raicea,3,0,0,6,237,0
webjunkie,20,0,0,1,0,0
rafaeelaudibert,17,0,0,3,41,0
meikelmosby,6,0,0,3,162,0
pauldambra,51,0,0,19,1738,1
turnipdabeets,2,0,0,2,109,0
dmarchuk,4,0,1,3,44,0
sakce,7,0,0,6,152,0
fasyy612,5,0,0,0,0,0
vdekrijger,2,0,0,136,3485,0
gesh,15,0,0,4,54,0
jonmcwest,6,0,0,0,0,0
jurajmajerik,7,0,0,1,0,0
robbie-c,12,0,0,3,0,1
Gilbert09,13,0,0,8,396,0
leonposthog,1,0,0,0,0,0
Twixes,5,0,0,1,0,0
eleftheriatrivyzaki,2,0,0,0,0,0
joethreepwood,1,0,0,0,0,0
TueHaulund,9,0,0,0,0,1
darkopia,1,0,0,0,0,0
orian,7,0,0,0,0,0
charlescook-ph,1,0,0,0,0,0
jabahamondes,2,0,0,2,0,0
ksvat,4,0,0,0,0,0
DanielVisca,13,0,0,5,423,0
gantoine,6,0,1,0,0,0
nickbest-ph,14,0,0,4,138,0
haacked,6,0,0,13,1394,0
fercgomes,8,0,0,0,0,0
z0br0wn,8,0,0,7,298,0
matheus-vb,2,0,0,2,134,0
gustavohstrassburger,4,0,1,0,0,0
adboio,1,0,0,0,0,0
feliperalmeida,1,0,0,0,0,0
arthurdedeus,9,0,0,5,70,0
a-lider,12,0,1,11,314,0
eli-r-ph,11,0,0,5,172,0
kyleswank,1,0,0,0,0,0
jordanm-posthog,7,0,0,0,0,0
carlos-marchal-ph,3,0,0,1,0,0
rorylshanks,5,0,1,0,0,0
yasen-posthog,2,0,0,7,359,0
tomasfarias,6,0,0,6,26,0
estefaniarabadan,5,0,0,3,39,0
christiaan-ph,3,0,0,0,0,0
patricio-posthog,2,0,0,0,0,0
ablaszkiewicz,6,0,0,2,193,0
andyzzhao,10,0,0,0,0,0
nicowaltz,4,0,0,4,56,0
andehen,2,0,0,0,0,0
thmsobrmlr,11,0,0,0,0,0
abhischekt,4,0,1,5,22,0
shauryapednekar,1,0,0,0,0,0
oliverb123,1,0,0,0,0,0
andrewjmcgehee,2,0,0,0,0,0
lricoy,23,0,0,2,43,0
rodrigoi,7,0,0,0,0,0
MattBro,6,0,0,9,425,0
ryans-posthog,1,0,0,0,0,0
afsuyadi,1,0,0,0,0,0
clr182,4,0,0,0,0,0
slshults,2,0,0,0,0,0
nakshatra-nahar,1,0,0,0,0,0
mayteio,1,0,0,5,123,0
marandaneto,1,0,0,0,0,0
k11kirky,1,0,0,0,0,0
jose-sequeira,3,0,0,0,0,0
willwearing,1,0,0,0,0,0
sortafreel,4,0,0,0,0,0
MattPua,8,0,0,2,18,0
joshsny,18,0,0,3,121,0
ioannisj,1,0,0,0,0,0
pawel-cebula,1,0,0,5,243,0
mp-hog,5,0,0,2,245,0
MarconLP,1,0,0,0,0,0
ReeceJones,8,0,0,11,166,0
lucasheriques,5,0,0,2,116,0
okxint,2,0,0,0,0,0
adamleithp,5,0,0,0,0,0
dmarticus,6,0,0,0,0,0
erezrokah,1,0,0,0,0,0
benjackwhite,4,0,0,0,0,0
hpouillot,4,0,0,1,0,0
bigjohnn1,1,0,0,0,0,0
xljones,3,0,0,0,0,0
tatoalo,5,0,0,0,0,0
luke-belton,1,0,0,0,0,0
frankh,4,0,0,0,0,0
langesven,1,0,0,0,0,0
Copilot,0,0,0,41,2364,0
brandonleung,0,0,0,3,212,0
cvolzer3,0,0,0,5,95,0
